experiment_id,experiment_name,model_family,threshold,OOF macro-F1,class0 F1,class1 F1,public_lb_score,public_minus_oof,threshold_fragility,seed_std,risk_flag,threshold_extreme_flag,threshold_public_risk_flag
ret_no_retrieval_features,tab_no_retrieval_features,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
ret_bm25_only,tab_bm25_only_retrieval,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
ret_dense_only,tab_dense_only_retrieval,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK|RETRIEVAL_FEATURE_DRIFT,False,False
ret_hybrid,tab_hybrid_retrieval,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK|RETRIEVAL_FEATURE_DRIFT,False,False
ret_rank_off,tab_retrieval_rank_off,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
ret_score_off,tab_retrieval_score_off,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
ret_overlap_off,tab_retrieval_overlap_off,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
sig_no_attribute_conflict,tab_no_attribute_conflict,tabular,,,,,,,,,,False,False
sig_no_gender_conflict,tab_no_gender_conflict,tabular,,,,,,,,,,False,False
sig_no_age_conflict,tab_no_age_conflict,tabular,,,,,,,,,,False,False
sig_no_brand_contradiction,tab_no_brand_contradiction,tabular,,,,,,,,,,False,False
sig_no_size_number,tab_no_size_number,tabular,,,,,,,,,,False,False
model_tabular_baseline,tabular_baseline,tabular,,,,,,,,,,False,False
model_sklearn_text_baseline,sklearn_text_baseline,sklearn_text,,,,,,,,,,False,False
model_transformer_ce_best,transformer_ce_best,transformer_ce,,,,,,,,,,False,False
model_tabular_plus_sklearn_text,tabular_plus_sklearn_text,ensemble,,,,,,,,,,False,False
model_tabular_plus_transformer,tabular_plus_transformer,ensemble,,,,,,,,,,False,False
model_tabular_plus_transformer_plus_dense,tabular_plus_transformer_plus_dense_signals,ensemble,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
model_best_single,best_single_model,unknown,,,,,,,,,,False,False
model_best_balanced_blend,best_balanced_blend,ensemble,,,,,,,,,,False,False
thr_fixed_05,threshold_fixed_05,unknown,,,,,,,,,,False,False
thr_oof_best,threshold_oof_best,unknown,,,,,,,,,,False,False
thr_class0_protective,threshold_class0_protective,unknown,,,,,,,,,,False,False
thr_class1_protective,threshold_class1_protective,unknown,,,,,,,,,,False,False
thr_stable_midpoint,threshold_stable_midpoint,tabular,,,,,,,,,,False,False
thr_segment_analysis,threshold_segment_analysis_only,unknown,,,,,,,,,,False,False
dense_no_dense_anywhere,no_dense_anywhere,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_features_only,dense_features_only,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_hard_negatives_only,dense_hard_negatives_only,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_features_plus_negatives,dense_features_plus_dense_negatives,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_text_v1,dense_text_v1,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_text_v2,dense_text_v2,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_backend_A,dense_backend_A_multilingual_minilm,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
dense_backend_B,dense_backend_B_turkish_candidate,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
